@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute outputs_annie-1 numeric
@attribute outputs_annie-2 numeric
@attribute outputs_annie-3 numeric
@attribute outputs_annie-4 numeric
@attribute outputs_annie-5 numeric
@attribute outputs_annie-6 numeric

@data
69,'2017/02/12 13:20:37:839',4,357.046936,242.888794,3.924945,0.132357,0.01119,0.114533,13.319332,1.022781,7.177294,7.162225,3.080907,3.143262,19.572021,6.840326,0,0,0,?,?,?
70,'2017/02/12 13:20:37:872',4,357.038269,242.8862,3.926801,0.132192,0.008721,0.116479,13.330326,1.03229,7.155672,7.131516,3.083655,3.147525,19.519262,6.857311,0,0,0,?,?,?
71,'2017/02/12 13:20:37:903',4,357.142944,242.934174,3.927037,0.132067,0.011504,0.113632,13.312429,1.020155,7.184711,7.167,3.07008,3.124428,19.608231,6.823108,0,0,0,?,?,?
72,'2017/02/12 13:20:37:937',4,357.070374,242.835342,3.932493,0.137972,0.008902,0.117558,13.346294,1.026074,7.194592,7.169421,3.0551,3.121709,19.524971,6.845952,0,0,0,?,?,?
73,'2017/02/12 13:20:37:966',4,357.224731,242.858429,3.932,0.135007,0.010695,0.114327,13.275824,1.024312,7.189558,7.169788,3.056997,3.113092,19.58589,6.853059,0,0,0,?,?,?
74,'2017/02/12 13:20:37:998',4,357.15094,242.787842,3.928086,0.137358,0.010052,0.119287,13.303457,1.032798,7.194659,7.17375,3.032791,3.104286,19.532463,6.812732,0,0,0,?,?,?
75,'2017/02/12 13:20:38:036',4,357.273285,242.945404,3.920511,0.131473,0.009611,0.117676,13.221471,1.026746,7.167115,7.15127,3.054696,3.124135,19.621273,6.838637,0,0,0,?,?,?
76,'2017/02/12 13:20:38:071',4,357.232117,242.887909,3.923569,0.128684,0.009847,0.1177,13.236862,1.03003,7.201996,7.177693,3.083038,3.145906,19.518185,6.821161,0,0,0,?,?,?
77,'2017/02/12 13:20:38:100',4,357.358795,242.794235,3.921606,0.133521,0.011773,0.116838,13.197998,1.021998,7.211253,7.193186,3.073906,3.132439,19.589914,6.812984,0,0,0,?,?,?
78,'2017/02/12 13:20:38:132',4,357.342957,242.897354,3.922242,0.128034,0.006907,0.119228,13.174915,1.032631,7.168074,7.15402,3.050845,3.124265,19.502493,6.830552,0,0,0,?,?,?
79,'2017/02/12 13:20:38:165',4,357.366547,242.75592,3.923905,0.133978,0.009009,0.117084,13.20393,1.020958,7.185964,7.17481,3.051692,3.119184,19.556765,6.818072,0,0,0,?,?,?
80,'2017/02/12 13:20:38:198',4,357.351532,242.73172,3.925495,0.13233,0.009079,0.117128,13.255217,1.028649,7.181137,7.168234,3.059549,3.127417,19.520288,6.828291,0,0,0,?,?,?
81,'2017/02/12 13:20:38:233',4,357.422089,242.831451,3.920488,0.126857,0.009649,0.114843,13.24547,1.030558,7.164125,7.151278,3.035771,3.099481,19.557295,6.821306,0,0,0,?,?,?
82,'2017/02/12 13:20:38:273',4,357.36734,242.736862,3.929834,0.133193,0.008774,0.115089,13.281172,1.026084,7.203389,7.179204,3.050665,3.107727,19.528379,6.80904,0,0,0,?,?,?
83,'2017/02/12 13:20:38:301',4,357.383942,242.762344,3.921571,0.13078,0.011082,0.114185,13.243575,1.028329,7.201194,7.182708,3.040985,3.097231,19.570862,6.793306,0,0,0,?,?,?
84,'2017/02/12 13:20:38:334',4,357.35733,242.84346,3.924568,0.130064,0.008195,0.114525,13.28699,1.024808,7.175742,7.153354,3.053384,3.110364,19.524956,6.835794,0,0,0,?,?,?
85,'2017/02/12 13:20:38:364',4,357.400818,242.844238,3.922547,0.13027,0.009471,0.115355,13.307947,1.032756,7.193243,7.170819,3.048972,3.11123,19.547804,6.817873,0,0,0,?,?,?
86,'2017/02/12 13:20:38:401',4,357.342651,242.863541,3.920988,0.128053,0.010298,0.116271,13.282005,1.032368,7.197729,7.17753,3.071018,3.130366,19.519497,6.799583,0,0,0,?,?,?
87,'2017/02/12 13:20:38:427',4,357.423401,242.851425,3.921096,0.130449,0.009127,0.116564,13.2373,1.029594,7.199922,7.175407,3.050503,3.112703,19.544788,6.82829,0,0,0,?,?,?
88,'2017/02/12 13:20:38:465',4,357.478394,242.901901,3.920328,0.130607,0.008748,0.118059,13.235827,1.028725,7.192039,7.17183,3.027531,3.093595,19.568539,6.833286,0,0,0,?,?,?
89,'2017/02/12 13:20:38:490',4,357.615967,242.794113,3.929869,0.128655,0.008941,0.11793,13.246928,1.046721,7.145589,7.122036,3.050969,3.116166,19.536804,6.831301,0,0,0,?,?,?
90,'2017/02/12 13:20:38:535',4,357.690094,242.662369,3.932202,0.132035,0.009103,0.119253,13.236484,1.044999,7.099477,7.081497,3.035738,3.104474,19.552639,6.801766,0,0,0,?,?,?
91,'2017/02/12 13:20:38:569',4,357.801117,242.737228,3.930384,0.127328,0.008393,0.118021,13.184451,1.044941,7.082374,7.065335,3.014147,3.078852,19.541235,6.839229,0,0,0,?,?,?
92,'2017/02/12 13:20:43:362',5,356.33963,240.409851,4.574465,0.127678,0.019739,0.082084,13.320969,8.213345,7.258408,7.233223,2.605943,2.622704,25.75548,6.255302,0,0,0,?,?,?
93,'2017/02/12 13:20:43:393',5,356.161987,240.171814,4.564639,0.12916,0.020068,0.085602,13.371739,7.320709,7.211938,7.186714,2.615453,2.642188,25.725912,6.277854,0,0,0,?,?,?
94,'2017/02/12 13:20:43:424',5,356.214783,240.316879,4.560406,0.129194,0.020197,0.084286,13.411605,7.341734,7.248568,7.221064,2.587573,2.604296,25.654623,6.262806,0,0,0,?,?,?
95,'2017/02/12 13:20:43:481',5,356.144592,240.250259,4.572958,0.136472,0.019038,0.085785,13.400761,7.370969,7.231568,7.204712,2.598502,2.627065,25.683971,6.270262,0,0,0,?,?,?
96,'2017/02/12 13:20:43:503',5,356.261353,239.964371,4.532835,0.122487,0.021319,0.083642,13.516797,6.020876,7.190481,7.158714,2.643044,2.659723,25.685656,6.312814,0,0,0,?,?,?
97,'2017/02/12 13:20:43:528',5,356.23999,240.65155,4.579954,0.135418,0.018619,0.082657,13.380628,7.719748,7.258835,7.233654,2.590536,2.608059,25.631613,6.254322,0,0,0,?,?,?
98,'2017/02/12 13:20:43:560',5,356.156799,240.33078,4.56808,0.129389,0.020566,0.081684,13.420274,7.558829,7.205119,7.177033,2.6417,2.653421,25.687571,6.309483,0,0,0,?,?,?
