@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs_yue-1 numeric
@attribute outputs_yue-2 numeric
@attribute outputs_yue-3 numeric
@attribute outputs_yue-4 numeric
@attribute outputs_yue-5 numeric
@attribute outputs_yue-6 numeric

@data
341,'2017/02/12 13:42:58:045',6,97.396095,0.000557,0.13156,40.177856,0.002393,0.000365,0,1.602336,80.937302,32.878193,4.59746,0.000138,0.013954,0.02425,0.00596,0,95.029388,18.604019,99.958046,58.994125,0,0.000107,0.354594,99.92054,99.923218,0.000284,61.324818,36.914574,3.891118,-9.848462,-5.097729,163.28302,0,0,0,0,0,0
342,'2017/02/12 13:42:58:061',6,97.396095,0.000557,0.13156,40.177856,0.002393,0.000365,0,1.602336,80.937302,32.878193,4.59746,0.000138,0.013954,0.02425,0.00596,0,95.029388,18.604019,99.958046,58.994125,0,0.000107,0.354594,99.92054,99.923218,0.000284,61.324818,36.914574,3.891118,-9.848462,-5.097729,163.28302,0,0,0,0,0,0
343,'2017/02/12 13:42:58:078',6,97.773598,0.000417,0.073269,59.93988,0.004511,0.000183,0,0.245199,84.567642,53.549259,9.005709,0.000091,0.012928,0.004529,0.006201,0,98.291412,24.918798,99.975342,69.537704,0,0.000107,1.236624,99.920731,99.927979,0.000324,67.123627,27.396042,3.088655,-9.516547,-4.454783,161.416779,0,0,0,0,0,0
344,'2017/02/12 13:42:58:112',6,97.773598,0.000417,0.073269,59.93988,0.004511,0.000183,0,0.245199,84.567642,53.549259,9.005709,0.000091,0.012928,0.004529,0.006201,0,98.291412,24.918798,99.975342,69.537704,0,0.000107,1.236624,99.920731,99.927979,0.000324,67.123627,27.396042,3.088655,-9.516547,-4.454783,161.416779,0,0,0,0,0,0
345,'2017/02/12 13:42:58:146',6,97.773598,0.000417,0.073269,59.93988,0.004511,0.000183,0,0.245199,84.567642,53.549259,9.005709,0.000091,0.012928,0.004529,0.006201,0,98.291412,24.918798,99.975342,69.537704,0,0.000107,1.236624,99.920731,99.927979,0.000324,67.123627,27.396042,3.088655,-9.516547,-4.454783,161.416779,0,0,0,0,0,0
346,'2017/02/12 13:42:58:163',6,97.773598,0.000417,0.073269,59.93988,0.004511,0.000183,0,0.245199,84.567642,53.549259,9.005709,0.000091,0.012928,0.004529,0.006201,0,98.291412,24.918798,99.975342,69.537704,0,0.000107,1.236624,99.920731,99.927979,0.000324,67.123627,27.396042,3.088655,-9.516547,-4.454783,161.416779,0,0,0,0,0,0
347,'2017/02/12 13:42:58:177',6,97.828194,0.000281,0.065812,65.5532,0.00579,0.000209,0,0.125371,83.533791,73.991814,12.207643,0.000081,0.008955,0.001524,0.007421,0,99.564323,31.944757,99.983871,81.548836,0,0.000107,4.690724,99.920837,99.929741,0.00029,67.692635,18.188499,2.961743,-9.734519,-3.345031,160.369598,0,0,0,0,0,0
348,'2017/02/12 13:42:58:214',6,97.828194,0.000281,0.065812,65.5532,0.00579,0.000209,0,0.125371,83.533791,73.991814,12.207643,0.000081,0.008955,0.001524,0.007421,0,99.564323,31.944757,99.983871,81.548836,0,0.000107,4.690724,99.920837,99.929741,0.00029,67.692635,18.188499,2.961743,-9.734519,-3.345031,160.369598,0,0,0,0,0,0
349,'2017/02/12 13:42:58:246',6,97.828194,0.000281,0.065812,65.5532,0.00579,0.000209,0,0.125371,83.533791,73.991814,12.207643,0.000081,0.008955,0.001524,0.007421,0,99.564323,31.944757,99.983871,81.548836,0,0.000107,4.690724,99.920837,99.929741,0.00029,67.692635,18.188499,2.961743,-9.734519,-3.345031,160.369598,0,0,0,0,0,0
350,'2017/02/12 13:42:58:277',6,97.828194,0.000281,0.065812,65.5532,0.00579,0.000209,0,0.125371,83.533791,73.991814,12.207643,0.000081,0.008955,0.001524,0.007421,0,99.564323,31.944757,99.983871,81.548836,0,0.000107,4.690724,99.920837,99.929741,0.00029,67.692635,18.188499,2.961743,-9.734519,-3.345031,160.369598,0,0,0,0,0,0
351,'2017/02/12 13:42:58:314',6,97.828194,0.000281,0.065812,65.5532,0.00579,0.000209,0,0.125371,83.533791,73.991814,12.207643,0.000081,0.008955,0.001524,0.007421,0,99.564323,31.944757,99.983871,81.548836,0,0.000107,4.690724,99.920837,99.929741,0.00029,67.692635,18.188499,2.961743,-9.734519,-3.345031,160.369598,0,0,0,0,0,0
352,'2017/02/12 13:42:58:323',6,98.299683,0.00026,0.105652,70.736801,0.004436,0.000136,0,0.106247,83.256516,86.784676,11.429786,0.000053,0.007094,0.000511,0.011805,0,99.919357,48.24955,99.987587,91.257423,0,0.000107,35.528336,99.920876,99.930145,0.000281,67.903358,5.265991,1.713976,-8.228162,-4.253104,159.810455,0,0,0,0,0,0
353,'2017/02/12 13:42:58:341',6,98.299683,0.00026,0.105652,70.736801,0.004436,0.000136,0,0.106247,83.256516,86.784676,11.429786,0.000053,0.007094,0.000511,0.011805,0,99.919357,48.24955,99.987587,91.257423,0,0.000107,35.528336,99.920876,99.930145,0.000281,67.903358,5.265991,1.713976,-8.228162,-4.253104,159.810455,0,0,0,0,0,0
354,'2017/02/12 13:42:58:360',6,98.299683,0.00026,0.105652,70.736801,0.004436,0.000136,0,0.106247,83.256516,86.784676,11.429786,0.000053,0.007094,0.000511,0.011805,0,99.919357,48.24955,99.987587,91.257423,0,0.000107,35.528336,99.920876,99.930145,0.000281,67.903358,5.265991,1.713976,-8.228162,-4.253104,159.810455,0,0,0,0,0,0
355,'2017/02/12 13:42:58:412',6,98.299683,0.00026,0.105652,70.736801,0.004436,0.000136,0,0.106247,83.256516,86.784676,11.429786,0.000053,0.007094,0.000511,0.011805,0,99.919357,48.24955,99.987587,91.257423,0,0.000107,35.528336,99.920876,99.930145,0.000281,67.903358,5.265991,1.713976,-8.228162,-4.253104,159.810455,0,0,0,0,0,0
356,'2017/02/12 13:42:58:427',6,98.299683,0.00026,0.105652,70.736801,0.004436,0.000136,0,0.106247,83.256516,86.784676,11.429786,0.000053,0.007094,0.000511,0.011805,0,99.919357,48.24955,99.987587,91.257423,0,0.000107,35.528336,99.920876,99.930145,0.000281,67.903358,5.265991,1.713976,-8.228162,-4.253104,159.810455,0,0,0,0,0,0
357,'2017/02/12 13:42:58:447',6,98.398399,0.000322,0.170881,84.030121,0.005961,0.000085,0,0.199026,83.792603,82.555382,10.004818,0.000029,0.006024,0.000171,0.014237,0.000001,99.960556,53.938709,99.995209,91.720001,0,0.000107,53.265182,99.920952,99.93013,0.00029,68.363518,2.029152,1.409894,-7.872824,-2.742655,159.921204,0,0,0,0,0,0
358,'2017/02/12 13:42:58:481',6,98.398399,0.000322,0.170881,84.030121,0.005961,0.000085,0,0.199026,83.792603,82.555382,10.004818,0.000029,0.006024,0.000171,0.014237,0.000001,99.960556,53.938709,99.995209,91.720001,0,0.000107,53.265182,99.920952,99.93013,0.00029,68.363518,2.029152,1.409894,-7.872824,-2.742655,159.921204,0,0,0,0,0,0
359,'2017/02/12 13:42:58:511',6,98.398399,0.000322,0.170881,84.030121,0.005961,0.000085,0,0.199026,83.792603,82.555382,10.004818,0.000029,0.006024,0.000171,0.014237,0.000001,99.960556,53.938709,99.995209,91.720001,0,0.000107,53.265182,99.920952,99.93013,0.00029,68.363518,2.029152,1.409894,-7.872824,-2.742655,159.921204,0,0,0,0,0,0
360,'2017/02/12 13:42:58:545',6,98.398399,0.000322,0.170881,84.030121,0.005961,0.000085,0,0.199026,83.792603,82.555382,10.004818,0.000029,0.006024,0.000171,0.014237,0.000001,99.960556,53.938709,99.995209,91.720001,0,0.000107,53.265182,99.920952,99.93013,0.00029,68.363518,2.029152,1.409894,-7.872824,-2.742655,159.921204,0,0,0,0,0,0
